Designator,Footprint,Quantity,Value,Manufacturer,Partnumber,LCSC Part #
ANT1,ANT-SMD_3P-L6.0-W2.0_M620720,1,,KYOCERA AVX,M620720,C5110126
B1,BAT-TH_CR2032-BS-6-1,1,,Q&J,CR2032-BS-6-1,C70377
C1,C0603,1,10µF ±10% 10V X5R,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702
"C2, C3, C4, C5, C7, C9, C10, C12, C14",C0402,9,100nF ±10% 16V X7R,Samsung Electro-Mechanics,CL05B104KO5NNNC,C1525
C6,C0805,1,22µF ±20% 25V X5R,Samsung Electro-Mechanics,CL21A226MAQNNNE,C45783
"C8, C11",C0603,2,4.7µF ±10% 16V X5R,Samsung Electro-Mechanics,CL10A475KO8NNNC,C19666
C13,C0402,1,3.3pF ±2% 50V C0G,Murata Electronics,GCM1555C1H3R3GA16D,C2941931
"C15, C16",C0402,2,,Murata Electronics,GJM1555C1H5R6BB01D,C161329
H1,HDR-TH_5P-P2.54-V-M,1,,Ckmtw,B-2100S05P-A110,C124379
L1,L0603,1,10µH ±20% 30MHz 50mA 1.17Ω,Murata Electronics,LQM18FN100M00D,C86083
"L2, L3, L4",L0402,3,,Murata Electronics,BLM15PD121SN1D,C76891
L5,L0402,1,8.2nH ±5% 3.6GHz 300mA 400mΩ,Sunlord,SDCL1005C8N2JTDF,C16208
L6,IND-SMD_L1.0-W0.5-2,1,4.2nH ±2% 1.8A 44mΩ,Murata Electronics,LQW15AN4N2G80D,C412282
LED1,LED0603-RD,1,,Everlight Elec,19-217/GHC-YR1S2/3T,C72043
"R1, R2",R0402,2,4.7kΩ ±1% 62.5mW,UNI-ROYAL(Uniroyal Elec),0402WGF4701TCE,C25900
R3,R0402,1,1kΩ ±1% 62.5mW,UNI-ROYAL(Uniroyal Elec),0402WGF1001TCE,C11702
"R4, R6",R0402,2,10kΩ ±1% 62.5mW,UNI-ROYAL(Uniroyal Elec),0402WGF1002TCE,C25744
R5,R0402,1,,Murata Electronics,NCP15XH103F03RC,C77131
U1,LGA-73_L12.0-W12.0-P0.60-TL,1,,RAKwireless,RAK3172-SIP-8-SM-NI,C19818882
U2,SOT-23-5_L2.9-W1.5-P0.95-LS2.8-BL,1,,FMD,FT24C02A-KLR-T,C5189122
U3,LGA-16_L3.0-W3.0-P0.50-TL,1,,STMicroelectronics,LIS3DHTR,C15134
U4,WSON-6_L3.0-W3.0-P1.00-TL-EP,1,,Texas Instruments,HDC2080DMBR,C918141
U5,LGA-14_L3.0-W2.5-P0.50-BR,1,,QST,QMI8658C,C2842151
