[15:22:30] WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[26]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[27]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[28]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[29]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[30]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[31]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[32]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[34]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[35]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[36]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[37]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[38]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[39]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[40]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[41]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[42]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[43]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[45]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[46]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[47]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[48]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[49]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[50]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[51]                                                                                                                                                                                                                                                                                                                                                                                                                                       
           WARNING  No PCB pads for pad in design: blah.u1.footprint.pins[52]                                                                                                                                                                                                                                                                                                                                                                                                                                       
