[16:09:17] INFO     Adding `Q_J_CR2032_BS_6_1:BAT-TH_CR2032-BS-6-1` as `blah.b1` (B1)                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Adding `LCSC`=`C70377` to `blah.b1` (B1)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Manufacturer`=`Q&J` to `blah.b1` (B1)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Adding `Partnumber`=`CR2032-BS-6-1` to `blah.b1` (B1)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Updating `Reference`->`B1` on `blah.b1` (B1)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Value`->`` on `blah.b1` (B1)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `atopile_address`=`blah.b1` to `blah.b1` (B1)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:b1]` to `blah.b1` (B1)                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Everlight_Elec_19_217_GHC_YR1S2_3T:LED0603-RD` as `blah.d1` (LED1)                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `LCSC`=`C72043` to `blah.d1` (LED1)                                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `Manufacturer`=`Everlight Elec` to `blah.d1` (LED1)                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `Partnumber`=`19-217/GHC-YR1S2/3T` to `blah.d1` (LED1)                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Reference`->`LED1` on `blah.d1` (LED1)                                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Updating `Value`->`` on `blah.d1` (LED1)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `atopile_address`=`blah.d1` to `blah.d1` (LED1)                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Adding `atopile_subaddresses`=`[layouts/default/default.kicad_pcb:d1]` to `blah.d1` (LED1)                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Adding `Murata_Electronics_LQM18FN100M00D:L0603` as `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Adding `LCSC`=`C86083` to `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Adding `Manufacturer`=`Murata Electronics` to `blah.e1` (L2)                                                                                                                                                                                                                                                                                                                                                                                                                                    
