[16:45:01] INFO     Updating `YAGEO_CC0603KRX7R9BB104:C0603`->`YAGEO_CC0402KRX7R9BB104:C0402` on `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Updating `LCSC`->`C131394` on `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Updating `Partnumber`->`CC0402KRX7R9BB104` on `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YAGEO-CC0402KRX7R9BB104_C131394.pdf` on `c2` (C4)                                                                                                                                                                                                                                                                                                                                                               
           INFO     Updating `Reference`->`C4` on `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Updating `Value`->`100nF ±10% 50V X7R` on `c2` (C4)                                                                                                                                                                                                                                                                                                                                                                                                                                             
           INFO     Updating `YAGEO_CC0603KRX7R9BB104:C0603`->`Murata_Electronics_GJM1555C1H1R0CB01D:C0402` on `c_match1` (C1)                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `LCSC`->`C85876` on `c_match1` (C1)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Manufacturer`->`Murata Electronics` on `c_match1` (C1)                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Updating `Partnumber`->`GJM1555C1H1R0CB01D` on `c_match1` (C1)                                                                                                                                                                                                                                                                                                                                                                                                                                  
           INFO     Updating `PARAM_capacitance`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1e-12, "max": 1e-12}}]}}, "unit": "farad"}}` on `c_match1` (C1)                                                                                                                                                                                                                                
           INFO     Updating `PARAM_temperature_coefficient`->`{"type": "EnumSet", "data": {"elements": [{"name": "C0G"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` on `c_match1` (C1)                                                                                                                                                                                                                             
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-GJM1555C1H1R0CB01D_C85876.pdf` on `c_match1` (C1)                                                                                                                                                                                                                                                                                                                                            
           INFO     Updating `Reference`->`C1` on `c_match1` (C1)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`1pF 50V C0G` on `c_match1` (C1)                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Updating `YAGEO_CC0603KRX7R9BB104:C0603`->`Murata_Electronics_GJM1555C1H1R0CB01D:C0402` on `c_match2` (C2)                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `LCSC`->`C85876` on `c_match2` (C2)                                                                                                                                                                                                                                                                                                                                                                                                                                                    
           INFO     Updating `Manufacturer`->`Murata Electronics` on `c_match2` (C2)                                                                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Updating `Partnumber`->`GJM1555C1H1R0CB01D` on `c_match2` (C2)                                                                                                                                                                                                                                                                                                                                                                                                                                  
           INFO     Updating `PARAM_capacitance`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 1e-12, "max": 1e-12}}]}}, "unit": "farad"}}` on `c_match2` (C2)                                                                                                                                                                                                                                
           INFO     Updating `PARAM_temperature_coefficient`->`{"type": "EnumSet", "data": {"elements": [{"name": "C0G"}], "enum": {"name": "TemperatureCoefficient", "values": {"Y5V": 1, "Z5U": 2, "X7S": 3, "X5R": 4, "X6R": 5, "X7R": 6, "X8R": 7, "C0G": 8}}}}` on `c_match2` (C2)                                                                                                                                                                                                                             
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-GJM1555C1H1R0CB01D_C85876.pdf` on `c_match2` (C2)                                                                                                                                                                                                                                                                                                                                            
           INFO     Updating `Reference`->`C2` on `c_match2` (C2)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`1pF 50V C0G` on `c_match2` (C2)                                                                                                                                                                                                                                                                                                                                                                                                                                              
           INFO     Updating `Murata_Electronics_LQM18FN100M00D:L0603`->`Murata_Electronics_BLM15PD121SN1D:L0402` on `e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `LCSC`->`C76891` on `e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Updating `Partnumber`->`BLM15PD121SN1D` on `e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-BLM15PD121SN1D_C76891.pdf` on `e2` (L3)                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `Reference`->`L3` on `e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Updating `Value`->`` on `e2` (L3)                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Updating `Murata_Electronics_LQM18FN100M00D:L0603`->`Murata_Electronics_BLM15PD121SN1D:L0402` on `e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `LCSC`->`C76891` on `e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Updating `Partnumber`->`BLM15PD121SN1D` on `e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                            
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Murata-Electronics-BLM15PD121SN1D_C76891.pdf` on `e3` (L4)                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `Reference`->`L4` on `e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Updating `Value`->`` on `e3` (L4)                                                                                                                                                                                                                                                                                                                                                                                                                                                               
           INFO     Updating `UNI_ROYAL_0603WAF1002T5E:R0603`->`YAGEO_RC0402FR_0710KL:R0402` on `r1` (R1)                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Updating `LCSC`->`C60490` on `r1` (R1)                                                                                                                                                                                                                                                                                                                                                                                                                                                          
           INFO     Updating `Manufacturer`->`YAGEO` on `r1` (R1)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Partnumber`->`RC0402FR-0710KL` on `r1` (R1)                                                                                                                                                                                                                                                                                                                                                                                                                                           
           INFO     Updating `PARAM_max_power`->`{"type": "Quantity_Set_Discrete", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0625, "max": 0.0625}}]}}, "unit": "watt"}}` on `r1` (R1)                                                                                                                                                                                                                                       
