[16:46:19] INFO     Updating `Murata_Electronics_LQM18FN100M00D:L0603`->`Murata_Electronics_LQP15MN2N0W02D:L0402` on `l_series` (L5)                                                                                                                                                                                                                                                                                                                                                                                
           INFO     Updating `LCSC`->`C167464` on `l_series` (L5)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Partnumber`->`LQP15MN2N0W02D` on `l_series` (L5)                                                                                                                                                                                                                                                                                                                                                                                                                                      
           INFO     Updating `PARAM_dc_resistance`->`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0, "max": null}}]}}, "unit": "ohm"}}` on `l_series` (L5)                                                                                                                                                                                                                              
           INFO     Updating `PARAM_inductance`->`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0, "max": null}}]}}, "unit": "henry"}}` on `l_series` (L5)                                                                                                                                                                                                                               
           INFO     Updating `PARAM_max_current`->`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0, "max": null}}]}}, "unit": "ampere"}}` on `l_series` (L5)                                                                                                                                                                                                                             
           INFO     Updating `PARAM_saturation_current`->`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0, "max": null}}]}}, "unit": "ampere"}}` on `l_series` (L5)                                                                                                                                                                                                                      
           INFO     Updating `PARAM_self_resonant_frequency`->`{"type": "Quantity_Interval_Disjoint", "data": {"intervals": {"type": "Numeric_Interval_Disjoint", "data": {"intervals": [{"type": "Numeric_Interval", "data": {"min": 0.0, "max": null}}]}}, "unit": "hertz"}}` on `l_series` (L5)                                                                                                                                                                                                                  
           INFO     Updating `Datasheet`->`https://www.lcsc.com/datasheet/lcsc_datasheet_1811081543_Murata-Electronics-LQP15MN2N0W02D_C167464.pdf` on `l_series` (L5)                                                                                                                                                                                                                                                                                                                                               
           INFO     Updating `Reference`->`L5` on `l_series` (L5)                                                                                                                                                                                                                                                                                                                                                                                                                                                   
           INFO     Updating `Value`->`` on `l_series` (L5)                                                                                                                                                                                                                                                                                                                                                                                                                                                         
           INFO     Positioning 0 footprints                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
           INFO     Applying routes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
           INFO     Backing up layout to /Users/glovepost/Projects/aertactx-dogtracker/build/builds/default/default.20260109-164619.kicad_pcb                                                                                                                                                                                                                                                                                                                                                                       
           INFO     Updating layout /Users/glovepost/Projects/aertactx-dogtracker/layouts/default/default.kicad_pcb                                                                                                                                                                                                                                                                                                                                                                                                 
